1,"mclaren","McLaren","British","http://en.wikipedia.org/wiki/McLaren"
3,"williams","Williams","British","http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering"
4,"renault","Renault","French","http://en.wikipedia.org/wiki/Renault_in_Formula_One"
5,"toro_rosso","Toro Rosso","Italian","http://en.wikipedia.org/wiki/Scuderia_Toro_Rosso"
6,"ferrari","Ferrari","Italian","http://en.wikipedia.org/wiki/Scuderia_Ferrari"
9,"red_bull","Red Bull","Austrian","http://en.wikipedia.org/wiki/Red_Bull_Racing"
10,"force_india","Force India","Indian","http://en.wikipedia.org/wiki/Racing_Point_Force_India"
15,"sauber","Sauber","Swiss","http://en.wikipedia.org/wiki/Sauber"
131,"mercedes","Mercedes","German","http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One"
210,"haas","Haas F1 Team","American","http://en.wikipedia.org/wiki/Haas_F1_Team"
