1,"hamilton",44,"HAM","Lewis","Hamilton","1985-01-07","British","http://en.wikipedia.org/wiki/Lewis_Hamilton"
2,"heidfeld",\N,"HEI","Nick","Heidfeld","1977-05-10","German","http://en.wikipedia.org/wiki/Nick_Heidfeld"
3,"rosberg",6,"ROS","Nico","Rosberg","1985-06-27","German","http://en.wikipedia.org/wiki/Nico_Rosberg"
4,"alonso",14,"ALO","Fernando","Alonso","1981-07-29","Spanish","http://en.wikipedia.org/wiki/Fernando_Alonso"
5,"kovalainen",\N,"KOV","Heikki","Kovalainen","1981-10-19","Finnish","http://en.wikipedia.org/wiki/Heikki_Kovalainen"
6,"nakajima",\N,"NAK","Kazuki","Nakajima","1985-01-11","Japanese","http://en.wikipedia.org/wiki/Kazuki_Nakajima"
7,"bourdais",\N,"BOU","Sébastien","Bourdais","1979-02-28","French","http://en.wikipedia.org/wiki/S%C3%A9bastien_Bourdais"
8,"raikkonen",7,"RAI","Kimi","Räikkönen","1979-10-17","Finnish","http://en.wikipedia.org/wiki/Kimi_R%C3%A4ikk%C3%B6nen"
9,"kubica",88,"KUB","Robert","Kubica","1984-12-07","Polish","http://en.wikipedia.org/wiki/Robert_Kubica"
10,"glock",\N,"GLO","Timo","Glock","1982-03-18","German","http://en.wikipedia.org/wiki/Timo_Glock"
11,"sato",\N,"SAT","Takuma","Sato","1977-01-28","Japanese","http://en.wikipedia.org/wiki/Takuma_Sato"
12,"piquet_jr",\N,"PIQ","Nelson","Piquet Jr.","1985-07-25","Brazilian","http://en.wikipedia.org/wiki/Nelson_Piquet,_Jr."
13,"massa",19,"MAS","Felipe","Massa","1981-04-25","Brazilian","http://en.wikipedia.org/wiki/Felipe_Massa"
14,"coulthard",\N,"COU","David","Coulthard","1971-03-27","British","http://en.wikipedia.org/wiki/David_Coulthard"
15,"trulli",\N,"TRU","Jarno","Trulli","1974-07-13","Italian","http://en.wikipedia.org/wiki/Jarno_Trulli"
16,"sutil",99,"SUT","Adrian","Sutil","1983-01-11","German","http://en.wikipedia.org/wiki/Adrian_Sutil"
17,"webber",\N,"WEB","Mark","Webber","1976-08-27","Australian","http://en.wikipedia.org/wiki/Mark_Webber"
18,"button",22,"BUT","Jenson","Button","1980-01-19","British","http://en.wikipedia.org/wiki/Jenson_Button"
19,"davidson",\N,"DAV","Anthony","Davidson","1979-04-18","British","http://en.wikipedia.org/wiki/Anthony_Davidson"
20,"vettel",5,"VET","Sebastian","Vettel","1987-07-03","German","http://en.wikipedia.org/wiki/Sebastian_Vettel"
21,"fisichella",\N,"FIS","Giancarlo","Fisichella","1973-01-14","Italian","http://en.wikipedia.org/wiki/Giancarlo_Fisichella"
22,"barrichello",\N,"BAR","Rubens","Barrichello","1972-05-23","Brazilian","http://en.wikipedia.org/wiki/Rubens_Barrichello"
23,"ralf_schumacher",\N,"SCH","Ralf","Schumacher","1975-06-30","German","http://en.wikipedia.org/wiki/Ralf_Schumacher"
24,"liuzzi",\N,"LIU","Vitantonio","Liuzzi","1980-08-06","Italian","http://en.wikipedia.org/wiki/Vitantonio_Liuzzi"
25,"wurz",\N,"WUR","Alexander","Wurz","1974-02-15","Austrian","http://en.wikipedia.org/wiki/Alexander_Wurz"
26,"speed",\N,"SPE","Scott","Speed","1983-01-24","American","http://en.wikipedia.org/wiki/Scott_Speed"
27,"albers",\N,"ALB","Christijan","Albers","1979-04-16","Dutch","http://en.wikipedia.org/wiki/Christijan_Albers"
28,"markus_winkelhock",\N,"WIN","Markus","Winkelhock","1980-06-13","German","http://en.wikipedia.org/wiki/Markus_Winkelhock"
29,"yamamoto",\N,"YAM","Sakon","Yamamoto","1982-07-09","Japanese","http://en.wikipedia.org/wiki/Sakon_Yamamoto"
30,"michael_schumacher",\N,"MSC","Michael","Schumacher","1969-01-03","German","http://en.wikipedia.org/wiki/Michael_Schumacher"
31,"montoya",\N,"MON","Juan","Pablo Montoya","1975-09-20","Colombian","http://en.wikipedia.org/wiki/Juan_Pablo_Montoya"
32,"klien",\N,"KLI","Christian","Klien","1983-02-07","Austrian","http://en.wikipedia.org/wiki/Christian_Klien"
33,"monteiro",\N,"TMO","Tiago","Monteiro","1976-07-24","Portuguese","http://en.wikipedia.org/wiki/Tiago_Monteiro"
34,"ide",\N,"IDE","Yuji","Ide","1975-01-21","Japanese","http://en.wikipedia.org/wiki/Yuji_Ide"
35,"villeneuve",\N,"VIL","Jacques","Villeneuve","1971-04-09","Canadian","http://en.wikipedia.org/wiki/Jacques_Villeneuve"
