
 15 seasons 

status: 17
driver: 20
circuit: 13
constructor: 15
race: 1227
lapTime: 1342
result: 1653


status: 15
driver: 15
circuit: 15
constructor: 17
race: 1165
lapTime: 1280
result: 1426


status: 15
driver: 21
circuit: 13
constructor: 16
race: 1241
lapTime: 1276
result: 1699


status: 14
driver: 17
circuit: 17
constructor: 13
race: 1276
lapTime: 1266
result: 1660


status: 16
driver: 15
circuit: 14
constructor: 15
race: 1275
lapTime: 1255
result: 1515


status: 16
driver: 16
circuit: 14
constructor: 23
race: 1252
lapTime: 1272
result: 1707


status: 17
driver: 16
circuit: 25
constructor: 18
race: 1308
lapTime: 1308
result: 1501


status: 20
driver: 16
circuit: 17
constructor: 15
race: 1205
lapTime: 1478
result: 1392


status: 57
driver: 19
circuit: 15
constructor: 14
race: 1219
lapTime: 1312
result: 1606


status: 16
driver: 17
circuit: 14
constructor: 14
race: 1180
lapTime: 1863
result: 1434


status: 16
driver: 16
circuit: 15
constructor: 14
race: 1274
lapTime: 1294
result: 1374


status: 17
driver: 18
circuit: 18
constructor: 22
race: 1238
lapTime: 1346
result: 1439



 Combinated 5 seasons 

status: 15
driver: 16
circuit: 16
constructor: 16
race: 1185
lapTime: 1256
result: 1334


status: 18
driver: 18
circuit: 16
constructor: 13
race: 1194
lapTime: 1372
result: 1727


status: 16
driver: 15
circuit: 15
constructor: 17
race: 1216
lapTime: 1378
result: 1445


status: 13
driver: 15
circuit: 19
constructor: 15
race: 1246
lapTime: 1340
result: 1410



 Combinated 10 seasons 

status: 16
driver: 28
circuit: 13
constructor: 20
race: 1239
lapTime: 1270
result: 1598


status: 17
driver: 23
circuit: 15
constructor: 15
race: 1224
lapTime: 1380
result: 1658


status: 20
driver: 13
circuit: 16
constructor: 16
race: 1200
lapTime: 1258
result: 1569


status: 14
driver: 15
circuit: 14
constructor: 15
race: 1327
lapTime: 1295
result: 1274



 Combinated 15 seasons 

status: 23
driver: 19
circuit: 17
constructor: 15
race: 1180
lapTime: 1327
result: 1460


status: 16
driver: 14
circuit: 16
constructor: 15
race: 1431
lapTime: 1285
result: 1552


status: 17
driver: 15
circuit: 17
constructor: 16
race: 1210
lapTime: 1830
result: 1312


status: 26
driver: 17
circuit: 14
constructor: 16
race: 1248
lapTime: 1322
result: 1602



 Combinated 20 seasons 

status: 18
driver: 19
circuit: 19
constructor: 16
race: 1170
lapTime: 1508
result: 1709


status: 18
driver: 17
circuit: 16
constructor: 17
race: 1239
lapTime: 1311
result: 1368


status: 19
driver: 15
circuit: 16
constructor: 15
race: 1191
lapTime: 1311
result: 1444


status: 16
driver: 16
circuit: 16
constructor: 17
race: 1403
lapTime: 1238
result: 1497



 20 seasons 

status: 20
driver: 15
circuit: 15
constructor: 15
race: 1248
lapTime: 1285
result: 1380


status: 16
driver: 19
circuit: 22
constructor: 14
race: 1358
lapTime: 1259
result: 1411


status: 15
driver: 17
circuit: 26
constructor: 16
race: 1236
lapTime: 1345
result: 1437


status: 14
driver: 25
circuit: 15
constructor: 14
race: 1162
lapTime: 1344
result: 1458


status: 15
driver: 16
circuit: 19
constructor: 17
race: 1517
lapTime: 1452
result: 1453


